product_url	page_id	brand	name	description	image_url	price	category	in_stock	manufacturer_id	upc	add_to_cart_link
http://www.example.com/super-widget.html	super-widget	Famous Brand	Super Widget	A supeior widget for every requirement. An essential part of any serious widget collection.	http://www.example.com/images/super-widget.png	10500	Parts>Widgets	20	EX134-A	21120041254	http://www.example.com/cart/add/super-widget
http://www.example.com/super-wedge.html	super-wedge	Famous Brand	Super Wedge	A superior wedge for any situation. Essential when a regular wedge just won't do.	http://www.example.com/images/super-wedge.png	895	Parts>Wedges	4	EX159-B	6.18426E+11	http://www.example.com/cart/add/super-wedge
http://www.example.com/mini-fan.html	mini-fan	Ultra Limited	Mini Fan	A small fan for cooling off in tight spaces.	http://www.example.com/images/mini-fan.png	18950	Cooling>Mini	3	FJWA-1	6.01952E+11	http://www.example.com/cart/add/mini-fan
http://www.example.com/mini-fridge.html	mini-fridge	Ultra Limited	Mini Fridge	A small fridge for cooling down your favorite foods where you just don't have the space for a regular fridge.	http://www.example.com/images/mini-fridge.png	85000	Cooling>Mini	12	JDFW-0	16299544606	http://www.example.com/cart/add/mini-fridge
http://www.example.com/mini-gadget.html	mini-gadget	Ultra Limited	Mini Gadget	A small gadget for a regular gadget is just too big.	http://www.example.com/images/mini-gadget.png	2	Gadgets>Mini	1999	NNA1B	6.3448E+11	http://www.example.com/cart/add/mini-gadget
http://www.example.com/turbo-phone.html	turbo-phone	Superior	Turbo Phone	There's nothing faster than this turbo phone.	http://www.example.com/images/turbo-phone.png	4550	Phones	20	NNA1C	47209400125	http://www.example.com/cart/add/turbo-phone
http://www.example.com/bright-lamp.html	bright-lamp	Consolidated	Bright Lamp	A bright light for dark rooms. Perfect for reading.	http://www.example.com/images/bright-lamp.png	3.5	Lighting>Bright	300	MN-15C	46878371217	http://www.example.com/cart/add/bright-lamp
http://www.example.com/bright-lantern.html	bright-lantern	Consolidated	Bright Lantern	A bright lantern for dark spaces. Perfect for on-the-go reading.	http://www.example.com/images/bright-lantern.png	789.5	Lighting>Bright	60	JK-15D	81227977122	http://www.example.com/cart/add/bright-lantern
http://www.example.com/retro-pencil.html	retro-pencil	Dynamic Brand	Retro Pencil	This pencil is a blast from the past with retro-styling. This is a quality writing instrument.	http://www.example.com/images/retro-pencil.png	18	Writing Instruments>Novelty>Pencils	60	BDR-X	50428613603	http://www.example.com/cart/add/retro-pencil
http://www.example.com/retro-pen.html	retro-pen	Dynamic Brand	Retro Pen	This pen is a blast from the past with retro-styling. This is a quality writing instrument.	http://www.example.com/images/retro-pen.png	995	Writing Instruments>Novelty>Pens	2	BD1-Z	70569855403	http://www.example.com/cart/add/retro-pen
